Retired point with ll = -3.171867437451986e8; accept = 0.125; next nmcmc = 128
Retired point with ll = -2.736098438519177e8; accept = 0.140625; next nmcmc = 128
Retired point with ll = -2.3488461041032922e8; accept = 0.1328125; next nmcmc = 128
Retired point with ll = -2.3366626967691627e8; accept = 0.171875; next nmcmc = 128
Retired point with ll = -2.3345311745449767e8; accept = 0.125; next nmcmc = 128
Retired point with ll = -2.1977284548012134e8; accept = 0.1953125; next nmcmc = 128
Retired point with ll = -2.133735686639779e8; accept = 0.1875; next nmcmc = 128
Retired point with ll = -2.1115641464290825e8; accept = 0.171875; next nmcmc = 128
Retired point with ll = -2.069916618888661e8; accept = 0.140625; next nmcmc = 128
Retired point with ll = -2.0534331412008974e8; accept = 0.1640625; next nmcmc = 128
Retired point with ll = -2.0521023694808105e8; accept = 0.140625; next nmcmc = 128
Retired point with ll = -1.9301109404133907e8; accept = 0.1328125; next nmcmc = 128
Retired point with ll = -1.8788590520749685e8; accept = 0.1875; next nmcmc = 128
Retired point with ll = -1.8297305167080873e8; accept = 0.15625; next nmcmc = 128
Retired point with ll = -1.7889679302718368e8; accept = 0.09375; next nmcmc = 128
Retired point with ll = -1.6894850570315006e8; accept = 0.1328125; next nmcmc = 128
Retired point with ll = -1.6814808998462957e8; accept = 0.1328125; next nmcmc = 128
Retired point with ll = -1.658186112352531e8; accept = 0.171875; next nmcmc = 128
Retired point with ll = -1.6472635055127606e8; accept = 0.0625; next nmcmc = 128
Retired point with ll = -1.6354869342871398e8; accept = 0.109375; next nmcmc = 128
Retired point with ll = -1.605717280623959e8; accept = 0.1171875; next nmcmc = 128
Retired point with ll = -1.6036880706713408e8; accept = 0.15625; next nmcmc = 128
Retired point with ll = -1.5911987965915042e8; accept = 0.09375; next nmcmc = 128
Retired point with ll = -1.5496879441909277e8; accept = 0.1875; next nmcmc = 128
Retired point with ll = -1.5432540117401752e8; accept = 0.1640625; next nmcmc = 128
Retired point with ll = -1.4929736607445264e8; accept = 0.1484375; next nmcmc = 128
Retired point with ll = -1.4700622181847838e8; accept = 0.203125; next nmcmc = 128
Retired point with ll = -1.3144377134763782e8; accept = 0.2578125; next nmcmc = 128
Retired point with ll = -1.3122930903363791e8; accept = 0.2421875; next nmcmc = 128
Retired point with ll = -1.3070950622940716e8; accept = 0.171875; next nmcmc = 128
Retired point with ll = -1.2540862831138769e8; accept = 0.1484375; next nmcmc = 128
Retired point with ll = -1.2538564335794996e8; accept = 0.125; next nmcmc = 128
Retired point with ll = -1.2469313357019104e8; accept = 0.109375; next nmcmc = 128
Retired point with ll = -1.2179295415277247e8; accept = 0.203125; next nmcmc = 128
Retired point with ll = -1.2101865460173742e8; accept = 0.1796875; next nmcmc = 128
Retired point with ll = -1.199873707557892e8; accept = 0.1484375; next nmcmc = 128
Retired point with ll = -1.1928520970652549e8; accept = 0.1328125; next nmcmc = 128
Retired point with ll = -1.155377756805287e8; accept = 0.1484375; next nmcmc = 128
Retired point with ll = -1.1463950193250278e8; accept = 0.21875; next nmcmc = 128
Retired point with ll = -1.1134982265615194e8; accept = 0.125; next nmcmc = 128
Retired point with ll = -1.0973518509562153e8; accept = 0.1015625; next nmcmc = 128
